
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL05       , Floor 05                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         12.68
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL05       , Floor 05                               ,            50.900  ,   Elevator Door & Frame          ,          4.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL05       , Floor 05                               ,            80.800  ,   Contingency - Original         ,         46.00

NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL06       , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         30.76
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         11.67
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL06       , Floor 06                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.22
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL06       , Floor 06                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         12.68
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL06       , Floor 06                               ,            50.900  ,   Elevator Door & Frame          ,          4.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL06       , Floor 06                               ,            80.800  ,   Contingency - Original         ,         46.00
NL:      032.21.3  ,  Abrams Hall 14 North Assisted                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      032.21.3  ,  Abrams Hall 14 North Assisted                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      032.21.3  ,  Abrams Hall 14 North Assisted                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
